ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Comment,Countries,ELCatMacroareas,classification,endangerment,code_authorities,codes,alt_names
10009,Wampanoag,,41.702591,-73.319119,wamp1249,wam,"Massachusett-Narragansett was a complex of Southern New England Algonquian dialects spoken around Massachusetts Bay from southern Maine to Cape Cod, as well as around Narragansett Bay and on Martha’s Vineyard. Several varieties of Massachusett-Narragansett are quite well documented from the Colonial period, including the dialect of the mission town of Natick, which was the basis of John Eliot's translation of the whole Bible (1663) and grammatical sketch (1666), and the Narragansett dialect of Rhode Island (Roger Williams 1643). Currently there are efforts to revive the speaking of the language under the name Wampanoag. The language fell into disuse in most areas during the 18th century, but a variety continued to be spoken on Martha’s Vineyard until the end of the 19th century. (Golla et al. 2008.)",US,North America,Algic,awakening,ISO 639-3,wam,Wôpanâak; Massachusett-Narragansett; Massachusett; Massachusetts; Natick; Wamponoag
1001,Xipaya,,-4.3902,-53.9648,xipa1240,xiy,,BR,South America,Tupian,dormant,ISO 639-3,xiy,Shipaja; Xipaia; Shipaya; Chipaia; Xipáya; Šipaya; Chipaya; Achipaie
1002,Yuchi,,36.0009,-96.0988,yuch1247,yuc,,US,North America,Isolate,critically endangered,ISO 639-3,yuc,Euchee
10029,Suabo,,-2.1,132.197,suab1238,szp,,ID,Southeast Asia,Trans-New Guinea,critically endangered,ISO 639-3,szp,Suabau; Inanwatan; Mirabo; Iagu; Solowat; Itigo; Bira
1003,Wichita,,35.0647,-98.2788,wich1260,wic,,US,North America,Caddoan,dormant,ISO 639-3,wic,Witchita
1004,Achumawi,,41.5,-121.0,achu1247,acv,,US,North America,Palaihnihan,critically endangered,ISO 639-3,acv,Achumawi; Achomawi; Pitt River; Achoma'wi; Achowawi
10069,Aftari,,35.36,53.7,afta1234,,,IR,Near East,Indo-European,endangered,LINGUIST List,5qc,
10070,West Tarangan,,-6.573,134.147,west2538,txn,,ID,Southeast Asia,Austronesian,vulnerable,ISO 639-3,txn,West Trangan; Tarangan Barat; Tarangan (West); Aru; Aroesch
10071,Meymai,,35.34,53.24,meym1234,,,IR,Near East,Indo-European,threatened,LINGUIST List,98s,Meyma'i
10072,Zefra'i,,32.805918,52.116672,zefr1234,,,IR,Near East,Indo-European,threatened,LINGUIST List,7ri,
10073,Kuhpayi,,32.7,52.45,kuhp1234,,"There is substantial dialectal variation across the Kuhpāya district. Kuhpāʾi proper is spoken in Jabal (Kuki). As one travels northwest, through Fešārk, the speech gradually approaches that of Zefra. Sagzi on the west and Qehi on the south have distinct dialects, though not radically different from that of Jabal. On the other hand, Mošgenān, Tudešk, and Ješuqān, in the east of the Kuhpāya district, possess transitional varieties closely related to those of Nāʾin (q.v.). These dialects are all endangered, being overrun by Persian.",IR,Near East,Indo-European,severely endangered,LINGUIST List,3oz,Kuhpāʾi
10074,Jarqu'i,,32.261704,52.198023,jarq1234,,,IR,Near East,Indo-European,threatened,LINGUIST List,1xw,
10089,Kadu,,24.2042,95.6332,kadu1254,zkd,"This language was formerly classified as Kado (kdv), which has split into Kadu (zkd) and Kanan (zkn) since 2011 (http://www-01.sil.org/iso639-3/chg_detail.asp?id=2011-002).

Kadu (zkd) is different from Kaduo (ktp), a language of China belonging to the Southern Ngwi branch in Tibeto-Burman language family. It is also different from Katu (ktv), a Mon-Khmer language of Vietnam.",MM,Southeast Asia,Sino-Tibetan,vulnerable,ISO 639-3,zkd,Gadu; Gamaan; Kado; Kantu; Kadu-Ganaan; Kato; Kudo; Maw; Mawteik; Puteik; Asak; Sak; Thet; Kadu; Andro; Sengmai; Chakpa; Phayeng; Katu; Gado; Woni; That; ကဒူး
101,Kulaale,,10.176552,18.56671,fani1244,fni,,TD,Africa,Niger-Congo,endangered,ISO 639-3; Glottolog,fni; fani1244,Fagnia; Fanya; Fanyan; Fana; Fania; Fanian; Mana; Kobe; Fulfulde (Nigerian); Eywe
10109,Homshetsi,,41.468,41.558,hams1239,,,TR RU GE,Europe; Caucasus; East Asia,Indo-European,vulnerable,LINGUIST List,1ev,Hamshen; Hamschen; Homshetsma; Hemşince
10129,Cambodian Sign Language,,11.558,104.917,camb1244,,"""It is best to avoid using the term Khmer Sign Language, since the term Khmer refers to the language used by hearing people in Cambodia, and Cambodian Sign Language is a different language from spoken/written Khmer."" (Woodward et al., 2015)",KH,Southeast Asia,Sign Language,endangered,LINGUIST List,4rr,CSL; CBDSL; Khmer Sign Language; KSL
10149,Kanan,,24.2042,95.6332,gana1267,zkn,"This languages used to be part of Kado (kdv), which has split into Kadu (zkd) and Kanan (zkn) since 2011 (http://www-01.sil.org/iso639-3/chg_detail.asp?id=2011-002).",MM,Southeast Asia,Sino-Tibetan,threatened,ISO 639-3,zkn,Gadu; Gamaan; Kado; Kantu; Kadu-Ganaan; Kato; Kudo; Maw; Mawteik; Puteik; Asak; Sak; Thet; Gado; Andro; Sengmai; That; Woni; Kadu-Ganaan; ကနန်း
10169,Lagwan,,11.664593,15.073328,lagw1237,kot,,NG CM TD,Africa,Afro-Asiatic,vulnerable,ISO 639-3,kot,Logone; Lagwan Kotoko; Kotoko-Logone; Logone-Birni Kotoko; Lagwane; Lagouane
10189,Naha'ai,,-16.557359,167.505623,malf1237,mlx,,VU,Pacific,Austronesian,endangered,ISO 639-3,mlx,Malfaxal; Malvaxal-Toman Island; Taman; Tomman
10209,Avava,,-16.233418,167.470106,katb1237,tmb,,VU,Pacific,Austronesian,vulnerable,ISO 639-3,tmb,Katbol; Navava; Bangsa’; Tembimbe-Katbol; Taremp; Tisvel; Mallicolo
1021,Tala,,10.221004,9.906132,tala1295,tak,,NG,Africa,Afro-Asiatic,threatened,ISO 639-3,tak,
10229,"Baka (Far North Region, Cameroon)",,10.881522,14.193724,baka1279,,,CM,Africa,Afro-Asiatic,severely endangered,LINGUIST List,5h1,
10249,Bumang,,22.661,103.085,buma1247,bvp,"This language is closely related to Kháng (kjm) of Vietnam, but mutually intelligibility between the two languages has not yet been tested. According to J. Edmondson (2010:152), ""it appears that the lexical support for Kháng and Bumang belonging to Khmuic is strong."" It is not yet clear which subdivision of the Khumic branch Bumang belongs to.",CN,East Asia,Austro-Asiatic,threatened,ISO 639-3,bvp,Manzhang Dai; 曼仗傣; Bumang; 布芒語
10269,Lavukaleve,,-9.079,159.22,lavu1241,lvk,,SB,Pacific,Isolate,threatened,ISO 639-3,lvk,Laumbe; Laube; Russell Island; Lakukaleve
10289,Torres Strait Creole,,-10.544521,142.253666,torr1261,tcs,,AU,Australia,Pidgin or Creole,vulnerable,ISO 639-3,tcs,Torres Strait Pidgin; Lockhart Creole; Torres Strait Broken; West Torres; Cape York Creole; Yumplatok; Ap-Ne-Ap; Blaik; Creole
10309,Ratsua,,-5.5245,154.8006,rats1237,,"While Ratsua is listed in Ethnologue as a dialect of Hahon [hah], it is in fact a separate language.",PG,Pacific,Austronesian,vulnerable,LINGUIST List,hah-rat,
10310,Hahon,,-5.342585,154.559549,haho1237,hah,,PG,Pacific,Austronesian,vulnerable,ISO 639-3,hah,Hanon
10329,Sirva,,-4.98,145.22,sile1255,sbq,,PG,Pacific,Trans-New Guinea,endangered,ISO 639-3,sbq,Sileibi
10330,Aisi,,-5.405093,145.175755,musa1266,mmq,,PG,Pacific,Trans-New Guinea,endangered,ISO 639-3,mmq,Musak; Green Miao; Blue Miao; Red Miao; White Miao
10349,Äiwoo,,-9.43895,-171.205463,ayiw1239,nfl,,SB,Pacific,Austronesian,vulnerable,ISO 639-3,nfl,Reef; Ayiwo; Naaude; Aiwo; Gnivo; Nivo; Nifilole; Lomlom; Reef Islands; Reefs; Äiwo; Aïwo; Reef Islands-Santa Cruz Sub-Family
10369,Vaeakau-Taumako,,-10.18746,166.300435,pile1238,piv,,SB,Pacific,Austronesian,vulnerable,ISO 639-3,piv,Pileni; Pilheni; Taumako
10374,Southern Nicobarese,,7.3134,93.6968,sout2689,nik,Unclear how many of the dialects subsumed under Southern Nicobarese are languages in their own right. ,IN,South Asia,Austro-Asiatic,threatened,ISO 639-3,nik,Nicobarese; Southern; Condul; Great Nicobar; Little Nicobar; Milo; Lo'ong; Ong; Lamongse; Lamongshe; Takahanyilang
10377,Amami,,28.31,129.982,,,"Pellard (2015), whose classification is used here, considers Okinawan and Amami to be separate. According to Niinaga (2015), Northern Okinawan dialects are grouped together with Amami dialects. 

According to other analyses, the Amami language consists of Kikai (kzg), Kunigami (xug), Northern Amami-Oshima (ryn), Oki-no-Erabu (okn), Southern Amami-Oshima (ams), Toku-no-Shima (tkn), and Yoron (yox).

",JP,East Asia,Japonic,severely endangered,,kzg; xug; ryn; okn; ams; tkn; yox,Kikai; Kunigami; Northern Amami-Oshima; Oki-no-Erabu; Southern Amami-Oshima; Toku-no-Shima; Yoron; Ryukyuan; Oshima; Osima; Oosima; Northern Ryukyuan; Amami-Osima; Okinoerabu; Okierabu; Tokunosima; 奄美語; 奄美方言; 国頭語; 国頭方言; Shimayumuta; 島口; シマユムタ
10378,Hachijo,,33.063,139.472,hach1239,,,JP,East Asia,Japonic,endangered,,,八丈語; 八丈方言; 青ヶ島方言; Aogashima
1041,Yurok,,41.0607,-124.1413,yuro1248,yur,"Several sources report: Archie Thompson, the oldest living member of California's Yurok tribe and the last known active speaker raised in the tribal language, passed away in 2013 at the age of 93.",US,North America,Algic,awakening,ISO 639-3,yur,Chillula; Mita; Pekwan; Rikwa; Sugon; Weitspek; Weitspekan
10413,Bende,,-6.381068,31.068306,bend1258,bdp,,TZ,Africa,Niger-Congo,endangered,ISO 639-3,bdp,Sibhende; Kibende; Si'bende
10414,Hill Miri,,26.9612,94.0539,hill1258,,"Though Hili Miri is listed under Mising [mrg] in Ethnologue, most experts on the Aranuchal Pradesh and Tani languages treat Hill Miri and Mising as separate and distinct languages belonging to different branches of the Tani subgroup (Burling 2003; Sun 2003, 1993).",IN,South Asia,Sino-Tibetan,threatened,,,Miri; Sarak
10415,Jejara,,26.21,95.16,para1302,pzn,,MM,Southeast Asia,Sino-Tibetan,vulnerable,ISO 639-3,pzn,Para; Para Naga; Naga; Para; Bara Naga; Parasar
10417,Louisiana Creole,,30.652,-91.422,loui1240,lou,,US,North America,Pidgin or Creole,severely endangered,ISO 639-3,lou,Louisiana Creole French; Kreyòl; Franse; Kourí-viní
10421,Gyalsumdo,,22.59,84.22,gyal1236,gyo,used to be regarded as a dialect of Manange,NP,South Asia,Sino-Tibetan,threatened,ISO 639-3,gyo,
10423,Crimean Tatar,,45.393467,34.268737,crim1257,crh,,TR RU UZ KG UA BG RO LT,Europe; Caucasus; Near East; East Asia,Turkic,vulnerable,ISO 639-3,crh,Crimean; qırımtatar tili; крымскотатарский; Tatar de Crimée; Tártaro Crimeano; qırım tili; къырым тили; къырымтатар тили
10424,Ngatikese,,5.789276,157.159653,sapw1237,,,FM,Pacific,Austronesian,vulnerable,,,
10425,West Frisian,,53.219359,5.78621,west2354,fry,"The main dialects Klaaifrysk, Wâldfrysk and Súdwesthoeks are mutually intelligible, whereas the archaic dialect of Hylpen and Skylge differ a lot from the main dialects and are difficult to understand for other speakers of Frisian. A general standard of Frisian has been accepted, which is mainly based on the Klaaifrysk dialect. (de Graaf 2014)",NL,Europe,Indo-European,at risk,ISO 639-3,fry,Frysk; Fries; Frisian; West(er)lauwers Fries; West(er)lauwersk Frysk
10427,Nukini,,-7.34,-73.5,nuku1263,nuc,"“Central Panoan Assemblage”: evidently there has been areal influence among neighboring languages, such that the boundaries among [some] subgroups ... are somewhat blurred (Fleck 2013:11).",BR,South America,Pano-Tacanan,dormant,ISO 639-3,nuc,Nuquini; Nucuini; Inukuini
10429,Welsh,,53.14,-4.27,wels1247,cym,,AR GB,Europe; South America,Indo-European,vulnerable,ISO 639-3,cym,Cymraeg; y Gymraeg; Kymrisch; Gallois; Galés
1043,A'ingae,,0.054639,-77.409417,cofa1242,con,,CO EC,South America,Isolate,vulnerable,ISO 639-3,con,Kofane; Cofán; Kofán; A'i; A'ingaé; Colin; Kofan; A'ingae
10430,Bon Gula,,10.6577,19.5774,bong1282,glc,,TD,Africa,Niger-Congo,threatened,ISO 639-3,glc,Bon; Bon Goula; Bun; Êeni; Gula Guera; Poun; Taataal
10431,Herero,,-21.02,20.57,here1253,her,,BW NA AO,Africa,Niger-Congo,vulnerable,ISO 639-3,her,Ochiherero; Otjiherero
10434,Zaar,,9.5,9.5,saya1246,say,,NG,Africa,Afro-Asiatic,vulnerable,ISO 639-3,say,Za:r; vik-Zaar; Vikzar; Vigzar; Saya; Sayanci; Sayawa; Seya; Seyawa; Seiyawa; Seiyara; Sayara
10437,Wapan,,8.0,9.0,wapa1235,juk,,NG,Africa,Niger-Congo,at risk,ISO 639-3,juk,Jinkum; Jukon; Juku; Juku Junkun; Jukum; Jukun Wapan; Jukun Wukari; Wakari; Wukari; Wukari Jukun
10439,Ngizim,,11.710652,11.082443,ngiz1242,ngi,"""Ngizim has virtually no dialect differentiation other than a few lexical differences among villages.” (Schuh 1978)",NG,Africa,Afro-Asiatic,vulnerable,ISO 639-3,ngi,Ngezzim; Ngizmawa; Ngizimanci; Ngo:djin; Ngojin
10441,Kuteb,,7.0,10.0,kute1248,kub,"Dialect varieties are taken from Robert Koops ""A grammar of Kuteb: a Jukunoid language of east-central Nigeria"", 2009.",NG CM,Africa,Niger-Congo,at risk,ISO 639-3,kub,Ati; Kutep; Kutev; Mbarike; Zumper
